gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,associate's degree,standard,none,47.0,49.0,50
male,group B,high school,free/reduced,none,49.0,45.0,45
male,group A,some college,free/reduced,completed,50.0,47.0,54
male,group E,associate's degree,standard,none,72.0,64.0,63
male,group D,high school,free/reduced,none,42.0,39.0,34
female,group C,some college,standard,none,73.0,80.0,82
female,group C,some college,free/reduced,none,76.0,83.0,88
female,group D,associate's degree,standard,none,71.0,71.0,74
female,group A,some college,standard,none,58.0,70.0,67
female,group D,some high school,standard,none,73.0,86.0,82
female,group C,bachelor's degree,standard,none,65.0,72.0,74
male,group C,high school,free/reduced,none,27.0,34.0,36
male,group C,high school,standard,none,71.0,79.0,71
male,group C,associate's degree,free/reduced,completed,43.0,45.0,50
female,group B,some college,standard,none,79.0,86.0,92
male,group C,associate's degree,free/reduced,completed,78.0,81.0,82
male,group B,some high school,standard,completed,65.0,66.0,62
female,group E,some college,standard,completed,63.0,72.0,70
female,group D,some college,free/reduced,none,58.0,67.0,62
female,group D,bachelor's degree,standard,none,65.0,67.0,62
male,group B,some college,standard,none,79.0,67.0,67
male,group D,bachelor's degree,standard,completed,68.0,74.0,74
female,group D,associate's degree,standard,none,85.0,91.0,89
male,group B,high school,standard,completed,60.0,44.0,47
male,group C,some college,standard,completed,98.0,86.0,90
female,group C,some college,standard,none,58.0,67.0,72
female,group D,master's degree,standard,none,87.0,100.0,100
male,group E,associate's degree,standard,completed,66.0,63.0,64
female,group B,associate's degree,free/reduced,none,52.0,76.0,70
female,group B,some high school,standard,none,70.0,64.0,72
female,group D,associate's degree,free/reduced,completed,77.0,89.0,98
male,group C,high school,standard,none,62.0,55.0,49
male,group A,associate's degree,standard,none,54.0,53.0,47
female,group D,some college,standard,none,51.0,58.0,54
female,group E,bachelor's degree,standard,completed,99.0,100.0,100
male,group C,high school,standard,none,84.0,77.0,74
female,group B,bachelor's degree,free/reduced,none,75.0,85.0,82
female,group D,bachelor's degree,standard,none,78.0,82.0,79
female,group D,some high school,standard,none,51.0,63.0,61
female,group C,some college,standard,none,55.0,69.0,65
female,group C,bachelor's degree,standard,completed,79.0,92.0,89
male,group B,associate's degree,standard,completed,91.0,89.0,92
female,group C,some college,standard,completed,88.0,93.0,93
male,group D,high school,free/reduced,none,63.0,57.0,56
male,group E,some college,standard,none,83.0,80.0,73
female,group B,high school,standard,none,87.0,95.0,86
male,group B,some high school,standard,none,72.0,68.0,67
male,group D,some college,standard,completed,65.0,77.0,74
male,group D,master's degree,standard,none,82.0,82.0,74
female,group A,bachelor's degree,standard,none,51.0,49.0,51
male,group D,master's degree,standard,none,89.0,84.0,82
male,group C,some high school,free/reduced,completed,53.0,37.0,40
male,group E,some college,free/reduced,completed,87.0,74.0,70
female,group C,some college,standard,completed,75.0,81.0,84
male,group D,bachelor's degree,free/reduced,completed,74.0,79.0,75
male,group C,bachelor's degree,standard,none,58.0,55.0,48
male,group B,some high school,standard,completed,51.0,54.0,41
male,group E,high school,standard,none,70.0,55.0,56
female,group C,associate's degree,standard,none,59.0,66.0,67
male,group D,some college,standard,completed,71.0,61.0,69
female,group D,some high school,standard,none,76.0,72.0,71
female,group C,some college,free/reduced,none,59.0,62.0,64
female,group E,some college,free/reduced,completed,42.0,55.0,54
male,group A,high school,standard,none,57.0,43.0,47
male,group D,some college,standard,none,88.0,73.0,78
male,group B,some high school,standard,none,88.0,84.0,75
male,group C,associate's degree,free/reduced,none,73.0,68.0,66
female,group D,bachelor's degree,standard,completed,68.0,75.0,81
male,group E,associate's degree,free/reduced,completed,100.0,100.0,93
male,group A,some high school,standard,completed,62.0,67.0,69
male,group A,bachelor's degree,standard,none,77.0,67.0,68
female,group B,associate's degree,standard,completed,59.0,70.0,66
male,group D,bachelor's degree,standard,none,54.0,49.0,47
male,group D,some high school,standard,none,62.0,67.0,61
female,group C,some college,standard,completed,70.0,89.0,88
female,group E,high school,free/reduced,completed,66.0,74.0,78
male,group B,some college,free/reduced,none,60.0,60.0,60
female,group B,associate's degree,standard,completed,61.0,86.0,87
male,group D,associate's degree,free/reduced,none,66.0,62.0,64
male,group B,associate's degree,free/reduced,completed,82.0,78.0,74
female,group E,some college,free/reduced,completed,75.0,88.0,85
male,group B,master's degree,free/reduced,none,49.0,53.0,52
male,group C,high school,standard,none,52.0,53.0,49
female,group E,master's degree,standard,none,81.0,92.0,91
female,group C,bachelor's degree,standard,completed,96.0,100.0,100
male,group C,high school,free/reduced,completed,53.0,51.0,51
female,group B,master's degree,free/reduced,completed,58.0,76.0,78
female,group B,high school,standard,completed,68.0,83.0,78
female,group C,some college,free/reduced,completed,67.0,75.0,70
male,group A,high school,standard,completed,72.0,73.0,74
male,group E,some high school,standard,none,94.0,88.0,78
female,group D,some college,standard,none,79.0,86.0,81
female,group C,associate's degree,standard,none,63.0,67.0,70
female,group C,bachelor's degree,free/reduced,completed,43.0,51.0,54
female,group C,master's degree,standard,completed,81.0,91.0,87
female,group B,high school,free/reduced,completed,46.0,54.0,58
female,group C,associate's degree,standard,completed,71.0,77.0,77
female,group B,master's degree,free/reduced,completed,52.0,70.0,62
female,group D,some high school,standard,completed,97.0,100.0,100
male,group C,master's degree,free/reduced,completed,62.0,68.0,75
female,group C,some college,free/reduced,none,46.0,64.0,66
female,group E,high school,standard,none,50.0,50.0,47
female,group D,associate's degree,standard,none,65.0,69.0,70
male,group C,some high school,free/reduced,completed,45.0,52.0,49
male,group C,associate's degree,free/reduced,completed,65.0,67.0,65
male,group E,high school,standard,none,80.0,76.0,65
male,group D,some high school,standard,completed,62.0,66.0,68
male,group B,some high school,free/reduced,none,48.0,52.0,45
female,group C,bachelor's degree,standard,none,77.0,88.0,87
female,group E,associate's degree,standard,none,66.0,65.0,69
male,group D,some college,standard,completed,76.0,83.0,79
female,group B,some high school,standard,none,62.0,64.0,66
male,group D,some college,standard,completed,77.0,62.0,62
female,group C,master's degree,standard,completed,69.0,84.0,85
male,group D,associate's degree,standard,none,61.0,55.0,52
male,group C,some high school,free/reduced,completed,59.0,69.0,65
male,group E,high school,free/reduced,none,55.0,56.0,51
female,group B,some college,free/reduced,none,45.0,53.0,55
female,group B,bachelor's degree,free/reduced,none,78.0,79.0,76
female,group C,associate's degree,standard,completed,67.0,84.0,86
female,group D,some college,free/reduced,none,65.0,81.0,77
male,group C,associate's degree,standard,none,69.0,77.0,69
female,group B,associate's degree,standard,none,57.0,69.0,68
male,group C,some college,standard,none,59.0,41.0,42
male,group D,some high school,standard,completed,74.0,71.0,78
male,group E,bachelor's degree,standard,none,82.0,62.0,62
male,group E,high school,standard,completed,81.0,80.0,76
female,group B,some college,free/reduced,none,74.0,81.0,76
female,group B,some college,free/reduced,none,58.0,61.0,66
male,group D,some high school,free/reduced,completed,80.0,79.0,79
male,group C,some college,free/reduced,none,35.0,28.0,27
female,group C,high school,free/reduced,none,42.0,62.0,60
male,group C,associate's degree,free/reduced,completed,60.0,51.0,56
male,group E,high school,standard,completed,87.0,91.0,81
male,group B,some high school,standard,completed,84.0,83.0,75
female,group E,associate's degree,free/reduced,completed,83.0,86.0,88
female,group C,high school,free/reduced,none,34.0,42.0,39
male,group B,high school,free/reduced,none,66.0,77.0,70
male,group B,some high school,standard,completed,61.0,56.0,56
female,group D,high school,standard,completed,56.0,68.0,74
male,group B,associate's degree,standard,none,87.0,85.0,73
female,group C,some high school,free/reduced,none,55.0,65.0,62
male,group D,some high school,standard,none,86.0,80.0,75
female,group B,associate's degree,standard,completed,52.0,66.0,73
female,group E,master's degree,free/reduced,none,45.0,56.0,54
female,group C,some college,standard,none,72.0,72.0,71
male,group D,high school,standard,none,57.0,50.0,54
male,group A,some high school,free/reduced,none,68.0,72.0,64
female,group C,some college,standard,completed,88.0,95.0,94
male,group D,some college,standard,none,76.0,64.0,66
male,group C,associate's degree,standard,none,46.0,43.0,42
female,group B,bachelor's degree,standard,none,67.0,86.0,83
male,group E,some high school,standard,none,92.0,87.0,78
male,group C,bachelor's degree,standard,completed,83.0,82.0,84
male,group D,associate's degree,standard,none,80.0,75.0,77
male,group D,bachelor's degree,free/reduced,none,63.0,66.0,67
female,group D,some high school,standard,completed,64.0,60.0,74
male,group B,some college,standard,none,54.0,52.0,51
male,group C,associate's degree,standard,none,84.0,80.0,80
male,group D,high school,free/reduced,completed,73.0,68.0,66
female,group E,bachelor's degree,standard,none,80.0,83.0,83
female,group D,high school,standard,none,56.0,52.0,55
male,group E,some college,standard,none,59.0,51.0,43
male,group D,some high school,standard,none,75.0,74.0,69
male,group C,associate's degree,standard,none,85.0,76.0,71
male,group E,associate's degree,standard,none,89.0,76.0,74
female,group B,high school,standard,completed,58.0,70.0,68
female,group B,high school,standard,none,65.0,64.0,62
male,group C,high school,standard,none,68.0,60.0,53
male,group A,some high school,standard,completed,47.0,49.0,49
female,group D,some college,free/reduced,none,71.0,83.0,83
female,group B,some high school,standard,completed,60.0,70.0,70
male,group D,master's degree,standard,none,80.0,80.0,72
male,group D,high school,standard,none,54.0,52.0,52
female,group E,some college,standard,none,62.0,73.0,70
female,group C,associate's degree,free/reduced,none,64.0,73.0,68
male,group C,associate's degree,standard,completed,78.0,77.0,77
female,group B,some college,standard,none,70.0,75.0,78
female,group C,master's degree,free/reduced,completed,65.0,81.0,81
female,group C,some high school,free/reduced,completed,64.0,79.0,77
male,group C,some college,standard,completed,79.0,79.0,78
female,group C,some high school,free/reduced,none,44.0,50.0,51
female,group E,high school,standard,none,99.0,93.0,90
male,group D,high school,standard,none,76.0,73.0,68
male,group D,some high school,free/reduced,none,59.0,42.0,41
female,group C,bachelor's degree,standard,none,63.0,75.0,81
female,group D,high school,standard,none,69.0,72.0,77
female,group D,associate's degree,standard,completed,88.0,92.0,95
female,group E,some college,free/reduced,none,71.0,76.0,70
male,group C,bachelor's degree,standard,none,69.0,63.0,61
male,group C,some college,standard,none,58.0,49.0,42
female,group D,associate's degree,free/reduced,none,47.0,53.0,58
female,group D,some college,standard,none,65.0,70.0,71
male,group B,some college,standard,completed,88.0,85.0,76
male,group C,bachelor's degree,standard,none,83.0,78.0,73
female,group C,some high school,standard,completed,85.0,92.0,93
female,group E,high school,standard,completed,59.0,63.0,75
female,group C,some high school,free/reduced,none,65.0,86.0,80
male,group B,bachelor's degree,free/reduced,none,73.0,56.0,57
male,group D,high school,standard,none,53.0,52.0,42
male,group D,high school,standard,none,45.0,48.0,46
female,group D,bachelor's degree,free/reduced,none,73.0,79.0,84
female,group D,some college,free/reduced,completed,70.0,78.0,78
female,group B,some high school,standard,none,37.0,46.0,46
male,group B,associate's degree,standard,completed,81.0,82.0,82
male,group E,associate's degree,standard,completed,97.0,82.0,88
female,group B,some high school,standard,none,67.0,89.0,82
male,group B,bachelor's degree,free/reduced,none,88.0,75.0,76
male,group E,some high school,standard,completed,77.0,76.0,77
male,group C,associate's degree,standard,none,76.0,70.0,68
male,group D,some high school,standard,none,86.0,73.0,70
male,group C,some high school,standard,completed,63.0,60.0,57
female,group E,bachelor's degree,standard,none,65.0,73.0,75
male,group D,high school,free/reduced,completed,78.0,77.0,80
male,group B,associate's degree,free/reduced,none,67.0,62.0,60
male,group A,some high school,standard,completed,46.0,41.0,43
male,group E,associate's degree,standard,completed,71.0,74.0,68
male,group C,high school,free/reduced,completed,40.0,46.0,50
male,group D,associate's degree,free/reduced,none,90.0,87.0,75
male,group A,some college,free/reduced,completed,81.0,78.0,81
male,group D,some high school,free/reduced,none,56.0,54.0,52
female,group C,associate's degree,standard,completed,67.0,84.0,81
male,group B,associate's degree,standard,none,80.0,76.0,64
female,group C,associate's degree,standard,completed,74.0,75.0,83
male,group A,some college,standard,none,69.0,67.0,69
male,group E,some college,standard,completed,99.0,87.0,81
male,group C,some high school,standard,none,51.0,52.0,44
female,group B,associate's degree,free/reduced,none,53.0,71.0,67
female,group D,high school,free/reduced,none,49.0,57.0,52
female,group B,associate's degree,standard,none,73.0,76.0,80
male,group B,bachelor's degree,standard,none,66.0,60.0,57
male,group D,bachelor's degree,standard,completed,67.0,61.0,68
female,group C,associate's degree,free/reduced,completed,68.0,67.0,69
female,group C,bachelor's degree,standard,completed,59.0,64.0,75
male,group C,high school,standard,none,71.0,66.0,65
female,group D,master's degree,standard,completed,77.0,82.0,91
male,group C,associate's degree,standard,none,83.0,72.0,78
male,group B,bachelor's degree,standard,none,63.0,71.0,69
female,group D,associate's degree,free/reduced,none,56.0,65.0,63
female,group C,high school,free/reduced,completed,67.0,79.0,84
female,group E,high school,standard,none,75.0,86.0,79
female,group C,some college,standard,none,71.0,81.0,80
female,group C,some high school,free/reduced,none,43.0,53.0,53
female,group C,high school,free/reduced,none,41.0,46.0,43
female,group C,some college,standard,none,82.0,90.0,94
male,group C,some college,standard,none,61.0,61.0,62
male,group A,some college,free/reduced,none,28.0,23.0,19
male,group C,associate's degree,standard,completed,82.0,75.0,77
female,group B,some high school,standard,none,41.0,55.0,51
male,group C,high school,standard,none,71.0,60.0,61
male,group C,associate's degree,standard,none,47.0,37.0,35
male,group E,associate's degree,standard,completed,62.0,56.0,53
male,group B,associate's degree,standard,none,90.0,78.0,81
female,group C,bachelor's degree,standard,none,83.0,93.0,95
female,group B,some college,free/reduced,none,61.0,68.0,66
male,group D,some high school,standard,completed,76.0,70.0,69
male,group C,associate's degree,standard,none,49.0,51.0,43
female,group D,some high school,free/reduced,completed,35.0,55.0,60
male,group C,high school,free/reduced,none,58.0,61.0,52
female,group C,high school,standard,none,61.0,73.0,63
female,group B,high school,standard,completed,69.0,76.0,74
male,group D,associate's degree,standard,completed,67.0,72.0,67
male,group D,some college,standard,none,79.0,73.0,67
female,group C,high school,standard,none,72.0,80.0,75
male,group B,some college,standard,none,62.0,61.0,57
female,group C,bachelor's degree,standard,completed,77.0,94.0,95
male,group D,high school,free/reduced,none,75.0,74.0,66
male,group E,associate's degree,standard,none,87.0,74.0,76
female,group B,bachelor's degree,standard,none,52.0,65.0,69
male,group E,some college,standard,none,66.0,57.0,52
female,group C,some college,standard,completed,63.0,78.0,80
female,group C,associate's degree,standard,none,46.0,58.0,57
female,group C,some college,standard,none,59.0,71.0,70
female,group B,bachelor's degree,standard,none,61.0,72.0,70
male,group A,associate's degree,standard,none,63.0,61.0,61
female,group C,some college,free/reduced,completed,42.0,66.0,69
male,group D,some college,free/reduced,none,59.0,62.0,61
female,group D,some college,standard,none,80.0,90.0,89
female,group B,high school,standard,none,58.0,62.0,59
male,group B,some high school,standard,completed,85.0,84.0,78
female,group C,some college,standard,none,52.0,58.0,58
female,group D,some high school,free/reduced,none,27.0,34.0,32
male,group C,some college,standard,none,59.0,60.0,58
male,group A,bachelor's degree,free/reduced,completed,49.0,58.0,60
male,group C,high school,standard,completed,69.0,58.0,53
male,group C,bachelor's degree,free/reduced,none,61.0,66.0,61
female,group A,some high school,free/reduced,none,44.0,64.0,58
female,group D,some high school,standard,none,73.0,84.0,85
male,group E,some college,standard,none,84.0,77.0,71
female,group C,some college,free/reduced,completed,45.0,73.0,70
male,group D,some high school,standard,none,74.0,74.0,72
female,group D,some college,standard,completed,82.0,97.0,96
female,group D,bachelor's degree,standard,none,59.0,70.0,73
male,group E,associate's degree,free/reduced,none,46.0,43.0,41
female,group D,some high school,standard,none,80.0,90.0,82
female,group D,master's degree,free/reduced,completed,85.0,95.0,100
female,group A,some high school,standard,none,71.0,83.0,77
male,group A,bachelor's degree,standard,none,66.0,64.0,62
female,group B,associate's degree,standard,none,80.0,86.0,83
male,group C,associate's degree,standard,completed,87.0,100.0,95
male,group C,master's degree,free/reduced,none,79.0,81.0,71
female,group E,some high school,free/reduced,none,38.0,49.0,45
female,group A,some high school,free/reduced,none,38.0,43.0,43
female,group E,some college,standard,none,67.0,76.0,75
female,group E,bachelor's degree,standard,none,64.0,73.0,70
female,group C,associate's degree,free/reduced,none,57.0,78.0,67
female,group D,high school,standard,none,62.0,64.0,64
male,group D,master's degree,standard,none,73.0,70.0,75
male,group E,some high school,free/reduced,completed,73.0,67.0,59
female,group D,some college,standard,none,77.0,68.0,77
male,group E,some college,standard,none,76.0,67.0,67
male,group C,associate's degree,standard,completed,57.0,54.0,56
female,group C,some high school,standard,completed,65.0,74.0,77
male,group A,high school,free/reduced,none,48.0,45.0,41
female,group B,high school,free/reduced,none,50.0,67.0,63
female,group C,associate's degree,standard,none,85.0,89.0,95
male,group B,some high school,standard,none,74.0,63.0,57
male,group D,some high school,standard,none,60.0,59.0,54
female,group C,some high school,standard,completed,59.0,54.0,67
male,group A,some college,standard,none,53.0,43.0,43
female,group A,some college,free/reduced,none,49.0,65.0,55
female,group D,high school,standard,completed,88.0,99.0,100
female,group C,high school,standard,none,54.0,59.0,62
female,group C,some high school,standard,none,63.0,73.0,68
male,group B,associate's degree,standard,completed,65.0,65.0,63
female,group B,associate's degree,standard,none,82.0,80.0,77
female,group D,high school,free/reduced,completed,52.0,57.0,56
male,group D,associate's degree,standard,completed,87.0,84.0,85
female,group D,master's degree,standard,completed,70.0,71.0,74
male,group E,some college,standard,completed,84.0,83.0,78
male,group D,associate's degree,standard,none,71.0,66.0,60
male,group B,some high school,standard,completed,63.0,67.0,67
female,group C,bachelor's degree,free/reduced,completed,51.0,72.0,79
male,group E,high school,standard,none,84.0,73.0,69
male,group C,bachelor's degree,standard,completed,71.0,74.0,68
male,group C,associate's degree,standard,none,74.0,73.0,67
male,group D,some college,standard,none,68.0,59.0,62
male,group E,high school,free/reduced,completed,57.0,56.0,54
female,group C,associate's degree,free/reduced,completed,82.0,93.0,93
female,group D,high school,standard,completed,57.0,58.0,64
female,group D,master's degree,free/reduced,completed,47.0,58.0,67
female,group A,some high school,standard,completed,59.0,85.0,80
male,group B,some college,free/reduced,none,41.0,39.0,34
female,group C,some college,free/reduced,none,62.0,67.0,62
male,group C,bachelor's degree,standard,none,86.0,83.0,86
male,group C,some high school,free/reduced,none,69.0,71.0,65
male,group A,some high school,free/reduced,none,65.0,59.0,53
male,group C,some high school,free/reduced,none,68.0,63.0,54
male,group C,associate's degree,free/reduced,none,64.0,66.0,59
female,group C,high school,standard,none,61.0,72.0,70
male,group C,high school,standard,none,61.0,56.0,55
female,group A,some high school,free/reduced,none,47.0,59.0,50
male,group C,some high school,standard,none,73.0,66.0,66
male,group C,some college,free/reduced,completed,50.0,48.0,53
male,group D,associate's degree,standard,none,75.0,68.0,64
male,group D,associate's degree,free/reduced,none,75.0,66.0,73
male,group C,high school,standard,none,70.0,56.0,51
male,group D,some high school,standard,completed,89.0,88.0,82
female,group C,some college,standard,completed,67.0,81.0,79
female,group D,high school,standard,none,78.0,81.0,80
female,group A,some high school,free/reduced,none,59.0,73.0,69
female,group B,associate's degree,standard,none,73.0,83.0,76
male,group A,some high school,free/reduced,none,79.0,82.0,73
female,group C,some high school,standard,completed,67.0,74.0,77
male,group D,some college,free/reduced,none,69.0,66.0,60
male,group C,high school,standard,completed,86.0,81.0,80
male,group B,high school,standard,none,47.0,46.0,42
male,group B,associate's degree,standard,none,81.0,73.0,72
female,group C,some college,free/reduced,completed,64.0,85.0,85
female,group E,some college,standard,none,100.0,92.0,97
female,group C,associate's degree,free/reduced,none,65.0,77.0,74
male,group C,some college,free/reduced,none,65.0,58.0,49
female,group C,associate's degree,free/reduced,none,53.0,61.0,62
male,group C,bachelor's degree,free/reduced,none,37.0,56.0,47
female,group D,bachelor's degree,standard,none,79.0,89.0,89
male,group D,associate's degree,free/reduced,none,53.0,54.0,48
female,group E,bachelor's degree,standard,none,100.0,100.0,100
male,group B,high school,standard,completed,72.0,65.0,68
male,group C,bachelor's degree,free/reduced,none,53.0,58.0,55
male,group B,some college,free/reduced,none,54.0,54.0,45
female,group E,some college,standard,none,71.0,70.0,76
female,group C,some college,free/reduced,none,77.0,90.0,91
male,group A,bachelor's degree,standard,completed,75.0,58.0,62
female,group C,some college,standard,none,84.0,87.0,91
male,group A,high school,free/reduced,completed,72.0,67.0,65
female,group A,high school,free/reduced,completed,77.0,88.0,85
male,group C,some college,standard,none,91.0,74.0,76
female,group C,associate's degree,standard,completed,83.0,85.0,90
female,group C,high school,standard,none,63.0,69.0,74
female,group C,associate's degree,standard,completed,68.0,86.0,84
female,group D,some high school,standard,none,59.0,67.0,61
female,group B,associate's degree,standard,completed,90.0,90.0,91
female,group D,bachelor's degree,standard,completed,71.0,76.0,83
male,group E,bachelor's degree,standard,completed,76.0,62.0,66
male,group D,associate's degree,standard,none,80.0,68.0,72
female,group D,master's degree,standard,none,55.0,64.0,70
male,group E,associate's degree,standard,none,76.0,71.0,67
male,group B,high school,standard,completed,73.0,71.0,68
female,group D,associate's degree,free/reduced,none,52.0,59.0,56
male,group C,some college,free/reduced,none,68.0,68.0,61
male,group A,high school,standard,none,59.0,52.0,46
female,group B,associate's degree,standard,none,49.0,52.0,54
male,group C,high school,standard,none,70.0,74.0,71
male,group D,some college,free/reduced,none,61.0,47.0,56
female,group C,associate's degree,free/reduced,none,60.0,75.0,74
male,group B,some high school,standard,completed,64.0,53.0,57
male,group A,associate's degree,free/reduced,completed,79.0,82.0,82
female,group A,associate's degree,free/reduced,none,65.0,85.0,76
female,group C,associate's degree,standard,none,64.0,64.0,70
female,group C,some college,standard,none,83.0,83.0,90
female,group C,bachelor's degree,standard,none,81.0,88.0,90
female,group B,high school,standard,none,54.0,64.0,68
male,group D,high school,standard,completed,68.0,64.0,66
female,group C,some college,standard,none,54.0,48.0,52
female,group D,some college,free/reduced,completed,59.0,78.0,76
female,group B,some high school,standard,none,66.0,69.0,68
male,group E,some college,standard,none,76.0,71.0,72
female,group D,master's degree,standard,none,74.0,79.0,82
female,group B,associate's degree,standard,completed,94.0,87.0,92
male,group C,some college,free/reduced,none,63.0,61.0,54
female,group E,associate's degree,standard,completed,95.0,89.0,92
female,group D,master's degree,free/reduced,none,40.0,59.0,54
female,group B,some high school,standard,none,82.0,82.0,80
male,group A,high school,standard,none,68.0,70.0,66
male,group B,bachelor's degree,free/reduced,none,55.0,59.0,54
male,group C,master's degree,standard,none,79.0,78.0,77
female,group C,bachelor's degree,standard,none,86.0,92.0,87
male,group D,some college,standard,none,76.0,71.0,73
male,group A,some high school,standard,none,64.0,50.0,43
male,group D,some high school,free/reduced,none,62.0,49.0,52
female,group B,some high school,standard,completed,54.0,61.0,62
female,group B,master's degree,free/reduced,completed,77.0,97.0,94
female,group C,some high school,standard,completed,76.0,87.0,85
female,group D,some college,standard,none,74.0,89.0,84
female,group E,some college,standard,completed,66.0,74.0,73
female,group D,some high school,standard,completed,66.0,78.0,78
female,group B,high school,free/reduced,completed,67.0,78.0,79
male,group D,some college,standard,none,71.0,49.0,52
female,group C,associate's degree,standard,none,91.0,86.0,84
male,group D,bachelor's degree,standard,none,69.0,58.0,57
male,group C,master's degree,free/reduced,none,54.0,59.0,50
male,group C,high school,standard,completed,53.0,52.0,49
male,group E,some college,standard,none,68.0,60.0,59
male,group C,some high school,free/reduced,completed,56.0,61.0,60
female,group C,high school,free/reduced,none,36.0,53.0,43
female,group D,bachelor's degree,free/reduced,none,29.0,41.0,47
female,group C,associate's degree,standard,none,62.0,74.0,70
female,group C,associate's degree,standard,completed,68.0,67.0,73
female,group C,some high school,standard,none,47.0,54.0,53
male,group E,associate's degree,standard,completed,62.0,61.0,58
female,group E,associate's degree,standard,completed,79.0,88.0,94
male,group B,high school,standard,completed,73.0,69.0,68
female,group C,bachelor's degree,free/reduced,completed,66.0,83.0,83
male,group C,associate's degree,standard,completed,51.0,60.0,58
female,group D,high school,standard,none,51.0,66.0,62
male,group E,bachelor's degree,standard,completed,85.0,66.0,71
male,group A,associate's degree,standard,completed,97.0,92.0,86
male,group C,high school,standard,completed,75.0,69.0,68
male,group D,associate's degree,free/reduced,completed,79.0,82.0,80
female,group C,associate's degree,standard,none,81.0,77.0,79
